No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
,,,,,,,,,,
1,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
2,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
3,mi kongga,6.1,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
4,IR 64,6.1,4.2,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
5,Beras Merah,7.3,5.1,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
6,Beras Hitam,7.2,6.3,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
7,panda wangi,6.3,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
8,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
9,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
10,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
11,Beras Merah,7.3,5.1,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
12,Beras Hitam,7.2,6.3,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
13,panda wangi,6.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
14,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
15,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
16,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,Burung,4,Grade C
17,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
18,Beras Hitam,7.1,6.4,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
19,panda wangi,6.5,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
20,ciheran,7.3,2.4,putih,pulen,SRI,Kemarau,tikus,5,Grade C
21,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
22,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
23,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
24,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
25,panda wangi,6,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
26,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
